ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_OMA_T,POPULATION,RATIO_OMA
2009,24,Centre-Val de Loire,18,Cher,08C,Verre,12195.97448,311022,39.212578
2009,24,Centre-Val de Loire,28,Eure-et-Loir,08A,Ordures ménagères résiduelles,117834.13951,425502,276.929696
2009,24,Centre-Val de Loire,28,Eure-et-Loir,08B,"Emballages, journaux-magazines",17912.02429,425502,42.096216
2009,24,Centre-Val de Loire,28,Eure-et-Loir,08C,Verre,13913.47912,425502,32.698974
2009,24,Centre-Val de Loire,36,Indre,08A,Ordures ménagères résiduelles,49930.65372,232268,214.970007
2009,24,Centre-Val de Loire,36,Indre,08B,"Emballages, journaux-magazines",10315.58207,232268,44.412411
2009,24,Centre-Val de Loire,36,Indre,08C,Verre,10060.51494,232268,43.314253
2009,24,Centre-Val de Loire,37,Indre-et-Loire,08A,Ordures ménagères résiduelles,148239.23244,588420,251.927589
2009,24,Centre-Val de Loire,37,Indre-et-Loire,08B,"Emballages, journaux-magazines",31148.45741,588420,52.935755
2009,24,Centre-Val de Loire,37,Indre-et-Loire,08C,Verre,21127.23841,588420,35.905031
2009,24,Centre-Val de Loire,41,Loir-et-Cher,08A,Ordures ménagères résiduelles,82919.77266,327868,252.905964
2009,24,Centre-Val de Loire,41,Loir-et-Cher,08B,"Emballages, journaux-magazines",13253.9284,327868,40.424586
2009,24,Centre-Val de Loire,41,Loir-et-Cher,08C,Verre,12535.99807,327868,38.234893
2009,24,Centre-Val de Loire,45,Loiret,08A,Ordures ménagères résiduelles,171335.09663,653510,262.176702
2009,24,Centre-Val de Loire,45,Loiret,08B,"Emballages, journaux-magazines",24839.547,653510,38.009436
2009,24,Centre-Val de Loire,45,Loiret,08C,Verre,18738.77097,653510,28.674038
2009,94,Corse,2A,Corse-du-Sud,08A,Ordures ménagères résiduelles,72034.68269,141330,509.691379
2009,94,Corse,2A,Corse-du-Sud,08B,"Emballages, journaux-magazines",1691.16654,141330,11.966083
2009,94,Corse,2A,Corse-du-Sud,08C,Verre,1576.4006,141330,11.15404
2009,94,Corse,2B,Haute-Corse,08A,Ordures ménagères résiduelles,72086.76157,164344,438.633363
2009,94,Corse,2B,Haute-Corse,08B,"Emballages, journaux-magazines",1935.67759,164344,11.778206
2009,94,Corse,2B,Haute-Corse,08C,Verre,2534.82716,164344,15.42391
2009,97,Dom-Com,971,Guadeloupe,08A,Ordures ménagères résiduelles,171982.99743,401554,428.293573
2009,97,Dom-Com,971,Guadeloupe,08B,"Emballages, journaux-magazines",7876.58152,401554,19.615248
2009,97,Dom-Com,971,Guadeloupe,08C,Verre,1563.76981,401554,3.894295
2009,97,Dom-Com,971,Guadeloupe,08D,Déchets de produits alimentaires,3.694,401554,0.009199
2009,97,Dom-Com,972,Martinique,08A,Ordures ménagères résiduelles,130032.95,396404,328.031377
2009,97,Dom-Com,972,Martinique,08B,"Emballages, journaux-magazines",1227.932,396404,3.097678
2009,97,Dom-Com,972,Martinique,08C,Verre,1339.58,396404,3.37933
2009,97,Dom-Com,972,Martinique,08D,Déchets de produits alimentaires,1047,396404,2.641244
2009,97,Dom-Com,973,Guyane,08A,Ordures ménagères résiduelles,75005.30378,224469,334.145489
2009,97,Dom-Com,973,Guyane,08B,"Emballages, journaux-magazines",181.72124,224469,0.80956
2009,97,Dom-Com,973,Guyane,08C,Verre,563.13816,224469,2.508756
2009,97,Dom-Com,974,Réunion,08A,Ordures ménagères résiduelles,239385.97,816364,293.234353
2009,97,Dom-Com,974,Réunion,08B,"Emballages, journaux-magazines",23439.05,816364,28.711518
2009,97,Dom-Com,974,Réunion,08C,Verre,7520.17945,816364,9.211797
2009,44,Grand-Est,08,Ardennes,08A,Ordures ménagères résiduelles,82993.93432,283296,292.958369
2009,44,Grand-Est,08,Ardennes,08B,"Emballages, journaux-magazines",15983.0429,283296,56.418173
2009,44,Grand-Est,08,Ardennes,08C,Verre,10148.03531,283296,35.821315
2009,44,Grand-Est,10,Aube,08A,Ordures ménagères résiduelles,91337.87574,303298,301.148954
2009,44,Grand-Est,10,Aube,08B,"Emballages, journaux-magazines",12545.06765,303298,41.362183
2009,44,Grand-Est,10,Aube,08C,Verre,11597.92549,303298,38.239373
2009,44,Grand-Est,51,Marne,08A,Ordures ménagères résiduelles,150194.31726,566145,265.29302
2009,44,Grand-Est,51,Marne,08B,"Emballages, journaux-magazines",30426.21458,566145,53.742794
2009,44,Grand-Est,51,Marne,08C,Verre,23366.75312,566145,41.273442
2009,44,Grand-Est,52,Haute-Marne,08A,Ordures ménagères résiduelles,53191.16692,185214,287.187614
2009,44,Grand-Est,52,Haute-Marne,08B,"Emballages, journaux-magazines",8484.77302,185214,45.810646
2009,44,Grand-Est,52,Haute-Marne,08C,Verre,7348.12404,185214,39.673696
2009,44,Grand-Est,54,Meurthe-et-Moselle,08A,Ordures ménagères résiduelles,215342.68789,731019,294.578783
2009,44,Grand-Est,54,Meurthe-et-Moselle,08B,"Emballages, journaux-magazines",33734.20279,731019,46.14682
2009,44,Grand-Est,54,Meurthe-et-Moselle,08C,Verre,20763.40116,731019,28.403367
2009,44,Grand-Est,54,Meurthe-et-Moselle,08D,Déchets de produits alimentaires,110,731019,0.150474
2009,44,Grand-Est,55,Meuse,08A,Ordures ménagères résiduelles,51569.32042,194003,265.817128
2009,44,Grand-Est,55,Meuse,08B,"Emballages, journaux-magazines",8878.36794,194003,45.764075
2009,44,Grand-Est,55,Meuse,08C,Verre,6777.4954,194003,34.935003
2009,44,Grand-Est,57,Moselle,08A,Ordures ménagères résiduelles,325123.13456,1044898,311.152987
2009,44,Grand-Est,57,Moselle,08B,"Emballages, journaux-magazines",55233.52838,1044898,52.86021
2009,44,Grand-Est,57,Moselle,08C,Verre,29797.23446,1044898,28.516883
2009,44,Grand-Est,67,Bas-Rhin,08A,Ordures ménagères résiduelles,293269.04098,1094439,267.962893
2009,44,Grand-Est,67,Bas-Rhin,08B,"Emballages, journaux-magazines",51533.94941,1094439,47.087091
2009,44,Grand-Est,67,Bas-Rhin,08C,Verre,31164.09233,1094439,28.474946
2009,44,Grand-Est,68,Haut-Rhin,08A,Ordures ménagères résiduelles,191958.0719,748614,256.417956
2009,44,Grand-Est,68,Haut-Rhin,08B,"Emballages, journaux-magazines",36415.78977,748614,48.64428
2009,44,Grand-Est,68,Haut-Rhin,08C,Verre,25847.00454,748614,34.526477
2009,44,Grand-Est,68,Haut-Rhin,08D,Déchets de produits alimentaires,533,748614,0.711982
2009,44,Grand-Est,88,Vosges,08A,Ordures ménagères résiduelles,104381.95799,380192,274.550642
2009,44,Grand-Est,88,Vosges,08B,"Emballages, journaux-magazines",14492.90828,380192,38.119971
2009,44,Grand-Est,88,Vosges,08C,Verre,15433.93276,380192,40.595101
2009,32,Hauts-de-France,02,Aisne,08A,Ordures ménagères résiduelles,144809.76349,539870,268.230802
2009,32,Hauts-de-France,02,Aisne,08B,"Emballages, journaux-magazines",26051.3169,539870,48.254796
2009,32,Hauts-de-France,02,Aisne,08C,Verre,21739.31655,539870,40.267687
2009,32,Hauts-de-France,02,Aisne,08D,Déchets de produits alimentaires,4096.22,539870,7.587419
2009,32,Hauts-de-France,59,Nord,08A,Ordures ménagères résiduelles,703943.77596,2571940,273.701476
2009,32,Hauts-de-France,59,Nord,08B,"Emballages, journaux-magazines",224536.96931,2571940,87.302568
2009,32,Hauts-de-France,59,Nord,08C,Verre,74965.97399,2571940,29.147637
2009,32,Hauts-de-France,59,Nord,08D,Déchets de produits alimentaires,8100,2571940,3.149373
2009,32,Hauts-de-France,60,Oise,08A,Ordures ménagères résiduelles,247999.08,801512,309.414057
2009,32,Hauts-de-France,60,Oise,08B,"Emballages, journaux-magazines",36387,801512,45.397947
2009,32,Hauts-de-France,60,Oise,08C,Verre,22945.62,801512,28.627918
2009,32,Hauts-de-France,62,Pas-de-Calais,08A,Ordures ménagères résiduelles,452536.48156,1461257,309.689863
2009,32,Hauts-de-France,62,Pas-de-Calais,08B,"Emballages, journaux-magazines",93123.64311,1461257,63.728449
2009,32,Hauts-de-France,62,Pas-de-Calais,08C,Verre,67304.73836,1461257,46.05948
2009,32,Hauts-de-France,80,Somme,08A,Ordures ménagères résiduelles,178898.54766,569775,313.981041
2009,32,Hauts-de-France,80,Somme,08B,"Emballages, journaux-magazines",27437.32119,569775,48.154659
2009,32,Hauts-de-France,80,Somme,08C,Verre,23010.68347,569775,40.385561
2009,32,Hauts-de-France,80,Somme,08D,Déchets de produits alimentaires,2427,569775,4.259576
2009,11,Ile-de-France,75,Paris,08A,Ordures ménagères résiduelles,841716,2234105,376.757583
2009,11,Ile-de-France,75,Paris,08B,"Emballages, journaux-magazines",81195,2234105,36.343412
2009,11,Ile-de-France,75,Paris,08C,Verre,62001,2234105,27.752052
2009,11,Ile-de-France,77,Seine-et-Marne,08A,Ordures ménagères résiduelles,401748.35833,1313414,305.880977
2009,11,Ile-de-France,77,Seine-et-Marne,08B,"Emballages, journaux-magazines",52744.30059,1313414,40.158168
2009,11,Ile-de-France,77,Seine-et-Marne,08C,Verre,32485.25027,1313414,24.733442
2009,11,Ile-de-France,78,Yvelines,08A,Ordures ménagères résiduelles,382877.98279,1407560,272.01539
2009,11,Ile-de-France,78,Yvelines,08B,"Emballages, journaux-magazines",61021.90029,1407560,43.352965
2009,11,Ile-de-France,78,Yvelines,08C,Verre,34559.80431,1407560,24.552988
2009,11,Ile-de-France,91,Essonne,08A,Ordures ménagères résiduelles,341958.90641,1208004,283.077627
2009,11,Ile-de-France,91,Essonne,08B,"Emballages, journaux-magazines",49475.9225,1208004,40.956753
2009,11,Ile-de-France,91,Essonne,08C,Verre,26138.54892,1208004,21.637799
2009,11,Ile-de-France,92,Hauts-de-seine,08A,Ordures ménagères résiduelles,488118.43681,1561745,312.546822
2009,11,Ile-de-France,92,Hauts-de-seine,08B,"Emballages, journaux-magazines",50732.46803,1561745,32.484476
2009,11,Ile-de-France,92,Hauts-de-seine,08C,Verre,29256.13251,1561745,18.732976
2009,11,Ile-de-France,93,Seine-Saint-Denis,08A,Ordures ménagères résiduelles,491161.2986,1515983,323.988658
2009,11,Ile-de-France,93,Seine-Saint-Denis,08B,"Emballages, journaux-magazines",36611.226,1515983,24.150156
2009,11,Ile-de-France,93,Seine-Saint-Denis,08C,Verre,16496.42145,1515983,10.881666
2009,11,Ile-de-France,94,Val-de-Marne,08A,Ordures ménagères résiduelles,387397.51061,1318537,293.8086
2009,11,Ile-de-France,94,Val-de-Marne,08B,"Emballages, journaux-magazines",44114.97249,1318537,33.457515
2009,11,Ile-de-France,94,Val-de-Marne,08C,Verre,22604.03087,1318537,17.143266
2009,11,Ile-de-France,95,Val-d'Oise,08A,Ordures ménagères résiduelles,362908.32071,1168892,310.472071
